"index" "mean" "std" "Q25" "Q50" "Q75" "leaf"
"1" "BGI" 0.543616446490263 0.0601217055979146 0.512150733326196 0.53395191902151 0.554188829787234 "1.jpg"
"2" "BI" 167.129373297512 13.0925810293009 159.045259899986 167.303201933507 174.401305086522 "1.jpg"
"3" "Blue" 105.568670418813 17.5949406452199 94.8571428571429 103.795918367347 112.102040816327 "1.jpg"
"4" "GLI" 0.138661409285026 0.0202476340534032 0.134001075902349 0.142607683352736 0.149371268893687 "1.jpg"
"5" "gray" 181.56993190179 13.1507610731073 173.345816326531 182.088224489796 189.500795918367 "1.jpg"
"6" "Green" 193.310678455001 13.4207736041807 184.734693877551 194.040816326531 202.040816326531 "1.jpg"
"7" "HI" 0.868384161966378 0.102006172811556 0.804651162790698 0.849462365591398 0.924493973163521 "1.jpg"
"8" "HUE" -1.23124373400867 0.93846128308655 -1.56471912319097 -1.56256957910561 -1.55353176384218 "1.jpg"
"9" "NGRDI" 0.0151370440415638 0.0116105805541852 0.00869847101410123 0.0178642318380309 0.0226933566613493 "1.jpg"
"10" "Red" 187.497442210565 12.3369103502124 180.204081632653 188.040816326531 194.816326530612 "1.jpg"
"11" "SCI" -0.0151370440415638 0.0116105805541852 -0.0226933566613493 -0.0178642318380309 -0.00869847101410123 "1.jpg"
"12" "SI" 0.283589009370357 0.0472907072457215 0.268708643154376 0.289153214386859 0.312462098241358 "1.jpg"
"13" "VARI" 0.020974514464725 0.0160124634921681 0.0117628230775386 0.0245090909090909 0.0315225160829164 "1.jpg"
"14" "BGI" 0.523270203282343 0.0642592541885362 0.490186402201815 0.511784872509107 0.534383685333746 "10.jpg"
"15" "BI" 161.794893609509 13.1496626418748 153.831734998004 161.682763607296 168.554698790082 "10.jpg"
"16" "Blue" 99.3679146206466 18.0190253094586 89 97.0204081632653 105.219387755102 "10.jpg"
"17" "GLI" 0.148937875117161 0.0228555701091033 0.142652496427757 0.152206125228287 0.160954096423847 "10.jpg"
"18" "gray" 176.389965135818 13.0650017804503 168.54681122449 176.564142857143 183.682040816327 "10.jpg"
