"index" "mean" "std" "Q25" "Q50" "Q75" "leaf"
"1" "BGI" 0.535305543650396 0.132761227541991 0.472236641759279 0.527832865304541 0.582728617098791 "G_108_R1.jpg"
"2" "BI" 107.272429553268 25.7177267223634 90.0370197416975 103.056021980612 119.743525920614 "G_108_R1.jpg"
"3" "Blue" 71.7201022295284 27.4896577398437 56.37 67.86 81.8825 "G_108_R1.jpg"
"4" "GLI" 0.193375137415237 0.0619403763757364 0.166000755563512 0.197161702016614 0.222127685199528 "G_108_R1.jpg"
"5" "gray" 117.750118093856 26.2137516395289 100.0394025 113.92453 131.12687 "G_108_R1.jpg"
"6" "Green" 130.946186941334 25.5633680149113 113.62 127.82 144.5825 "G_108_R1.jpg"
"7" "HI" 0.218220248262357 0.647373291494568 0.0449079972489744 0.213445201929673 0.429169711666224 "G_108_R1.jpg"
"8" "HUE" -1.56493310655535 0.0527300997494216 -1.56717556378419 -1.56663121831395 -1.56580560417114 "G_108_R1.jpg"
"9" "NGRDI" 0.0969580437339965 0.0393830636339191 0.0652966778324275 0.103564124982553 0.122384483690126 "G_108_R1.jpg"
"10" "Red" 109.393360217816 28.9755476252176 89.37 103.82 124.45 "G_108_R1.jpg"
"11" "SCI" -0.0969580437339965 0.0393830636339191 -0.122384483690126 -0.103564124982553 -0.0652966778324275 "G_108_R1.jpg"
"12" "SI" 0.224599223554047 0.114654198759011 0.159385877050207 0.219925562437564 0.271639157358861 "G_108_R1.jpg"
"13" "VARI" 0.13608814781266 0.0533809561773752 0.0907434241551233 0.145171196111178 0.172872252811035 "G_108_R1.jpg"
"14" "BGI" 0.646365860232879 0.0679509074001924 0.613311029723458 0.638838046215129 0.660377358490566 "G_108_R2.jpg"
"15" "BI" 103.240348407927 18.4964727143999 91.9593254741549 98.6820899823991 107.658957086052 "G_108_R2.jpg"
"16" "Blue" 79.2245333302515 17.7726380063793 70.46 75.05 80.54 "G_108_R2.jpg"
"17" "GLI" 0.147820363284079 0.0291686014008677 0.142515555648679 0.155258571033403 0.164464414756035 "G_108_R2.jpg"
"18" "gray" 111.661260374908 18.79455674408 99.8275 107.232385 117.0200725 "G_108_R2.jpg"
"19" "Green" 122.181736547707 18.39436552355 110.32 118.31 128.48 "G_108_R2.jpg"
"20" "HI" 0.0459455873918163 1.21047531736824 -0.110667996011964 0.0170056423158714 0.194174757281553 "G_108_R2.jpg"
"21" "HUE" -1.50245943355878 0.432410224005634 -1.56600868002125 -1.56536299985593 -1.56427061094751 "G_108_R2.jpg"
"22" "NGRDI" 0.0872340952801239 0.0288005576776225 0.0772428556897898 0.0963870668065436 0.107236414293016 "G_108_R2.jpg"
"23" "Red" 103.374529169749 21.3694414349765 89.87 97.4 108.3 "G_108_R2.jpg"
"24" "SCI" -0.0872340952801239 0.0288005576776225 -0.107236414293016 -0.0963870668065436 -0.0772428556897898 "G_108_R2.jpg"
"25" "SI" 0.13198613831071 0.0498654744502476 0.105389081522363 0.124917441025306 0.151559337174668 "G_108_R2.jpg"
"26" "VARI" 0.134735425112966 0.0440891970361265 0.116884824461303 0.148203084701154 0.165617873283451 "G_108_R2.jpg"
"27" "BGI" 0.67775651959437 0.0709012070984961 0.642271099643612 0.662610028446836 0.684077016598061 "G_108_R3.jpg"
"28" "BI" 99.3339916888292 18.0001158579433 89.1137686075144 95.5748099632597 102.990719120539 "G_108_R3.jpg"
"29" "Blue" 79.3505424954792 19.1097166884903 70.0025 74.88 80.15 "G_108_R3.jpg"
"30" "GLI" 0.137086781149098 0.0296527512259028 0.132677419393442 0.144086135719495 0.153745337231576 "G_108_R3.jpg"
"31" "gray" 106.820052393282 17.9380322525444 96.2954925 103.29681 111.3935775 "G_108_R3.jpg"
"32" "Green" 116.421444736698 17.7843955106487 105.61 113.41 122.22 "G_108_R3.jpg"
"33" "HI" -0.0920110310411035 6.45919740795783 -0.115279884130922 0.0390434002210089 0.135135135135135 "G_108_R3.jpg"
"34" "HUE" -1.55094781149031 0.190590889640584 -1.56548480795699 -1.56455640202135 -1.5631555583145 "G_108_R3.jpg"
"35" "NGRDI" 0.0858490070735484 0.0205055704651524 0.0780412193132812 0.0855333904664894 0.101031187144476 "G_108_R3.jpg"
"36" "Red" 98.4438210312894 18.7250257566169 87.69 94.37 102.44 "G_108_R3.jpg"
"37" "SCI" -0.0858490070735484 0.0205055704651524 -0.101031187144476 -0.0855333904664894 -0.0780412193132812 "G_108_R3.jpg"
"38" "SI" 0.110181945868082 0.0376161865884203 0.0957274962559597 0.114620151295406 0.131849810107745 "G_108_R3.jpg"
"39" "VARI" 0.135149329720154 0.0310291671273458 0.121854228648805 0.133817852908018 0.157771085397675 "G_108_R3.jpg"
"40" "BGI" 0.648996385777274 0.0713516723833724 0.609665142564389 0.638229245235246 0.664613331938782 "G_108_R4.jpg"
"41" "BI" 103.634703929358 19.3053937936483 92.1041059975092 99.1851705983192 109.249717375969 "G_108_R4.jpg"
"42" "Blue" 79.8350689679454 18.3495831908217 70.69 75.51 81.81 "G_108_R4.jpg"
"43" "GLI" 0.147859793501721 0.0294036647909979 0.141220827218304 0.154210519185925 0.164990796511363 "G_108_R4.jpg"
"44" "gray" 112.105141216347 19.8913409957336 99.9425225 107.790485 118.7766975 "G_108_R4.jpg"
"45" "Green" 122.803786586654 20.1742778512892 110.33 119.09 130.55 "G_108_R4.jpg"
"46" "HI" -0.0499563951912941 10.5822797168234 -0.0813204144293256 0.0267281518136335 0.181051644966687 "G_108_R4.jpg"
